Country,Region,Flag,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Netherlands,Europe,https://public.flourish.studio/country-flags/svg/nl.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000295715,0.000293638,3.28354E-06,0.000285789,0.000546729,0.000556867,0.000966771,0.001474044,0.002130168,0.003451717,0.004473575,0.007964901,0.008256215,0.008295805,0.008671845,0.008618556,0.009441339,0.010892367,0.0136565,0.023966279,0.062293997,0.12974848,0.207901645,0.291574071,0.395684713,0.564615566,0.944125757,1.328973144
New Zealand,Oceania,https://public.flourish.studio/country-flags/svg/nz.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004009532,0.004032118,0.004175777,0.004328669,0.004621705,0.005337536,0.007581229,0.019219384,0.03716783,0.057218005,0.075812922,0.098995218,0.123433745
North Macedonia,Europe,https://public.flourish.studio/country-flags/svg/mk.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000204151,0.009056073,0.023416571,0.077630394,0.131904969,0.196210973,0.197119305,0.203386881,0.195021885,0.185079317
Norway,Europe,https://public.flourish.studio/country-flags/svg/no.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00265247,0.002905503,0.002778065,0.00364575,0.003557674,0.003105404,0.003854189,0.003573591,0.00362042,0.004053121,0.004388014,0.004528336,0.004255037,0.004976152,0.005699514,0.006463334,0.01134023,0.019304159,0.040357747,0.057295325
Oman,Asia,https://public.flourish.studio/country-flags/svg/om.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000965085,0.000963159,0.002796155,0.002782821,0.002492995,0.002260726,0.002210984
Pakistan,Asia,https://public.flourish.studio/country-flags/svg/pk.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00379E-05,0.000569609,0.001916807,0.004756478,0.009455189,0.024714075,0.046277305,0.078609277,0.114573144,0.18724158,0.237461382,0.262586268,0.290503341
Peru,Americas,https://public.flourish.studio/country-flags/svg/pe.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061326062,0.196503671,0.193226614,0.20852978,0.204745847,0.241378468,0.593124937,0.593309315
Philippines,Asia,https://public.flourish.studio/country-flags/svg/ph.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001299559,0.001219189,0.001108114,0.001063451,0.001018938,0.000977136,0.000919234,0.000962707,0.000966457,0.010555033,0.080345956,0.579206544,0.574440689,0.577696612,0.592939804
Poland,Europe,https://public.flourish.studio/country-flags/svg/pl.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62259E-05,0.000251862,0.000342088,0.001643343,0.013147181,0.027169077,0.034619727,0.062034869,0.150901841
Portugal,Europe,https://public.flourish.studio/country-flags/svg/pt.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001446805,0,0,0,0,0,0,0.001120817,0.001103983,0.000810452,0.00108363,0.001338832,0.001499192,0.001682008,0.002361783,0.002662998,0.003465915,0.004599028,0.021829104,0.038383612,0.148478233,0.189738757,0.258974703,0.39235716,0.43451337,0.561755575,0.715024917,0.694755776,0.839541026,0.844217962,1.102187575
Qatar,Asia,https://public.flourish.studio/country-flags/svg/qa.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000728807,0.000638383,0.002023052,0.003246751,0.002893964,0.003794607,0.00391533,0.003758494,0.003685651
Romania,Europe,https://public.flourish.studio/country-flags/svg/ro.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000677052,0.001337068,0.000640825,0.005315911,0.298046293,0.881469526,1.335431024,1.222329855,1.217850639,1.134518588,1.14052333
Russia,Europe,https://public.flourish.studio/country-flags/svg/ru.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93603E-05,0.000134154,0.000348711,0.005106846,0.010861676,0.014742484,0.016957257,0.018601755,0.029462722
Saudi Arabia,Asia,https://public.flourish.studio/country-flags/svg/sa.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48771E-05,7.07191E-05,0.000430669,0.00050306,0.002240531,0.003674661,0.003680533,0.010859743,0.010655042,0.01269902,0.031258443,0.143870557
Singapore,Asia,https://public.flourish.studio/country-flags/svg/sg.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000113512,0.000564238,0.001008787,0.001529933,0.002534537,0.003777248,0.007886856,0.01324147,0.023031533,0.030794771,0.033543401,0.048875104
Slovakia,Europe,https://public.flourish.studio/country-flags/svg/sk.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021991853,0.53355477,0.587036428,0.789950377,0.858170143,0.716853494,0.747056009,0.666540896,0.778466532,0.805693507
Slovenia,Europe,https://public.flourish.studio/country-flags/svg/si.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002864782,0.012356275,0.03990922,0.207026215,0.524688034,0.697312972,0.808319456,0.945238358,0.855507681,0.894406506,0.788844789,0.865339364
South Africa,Africa,https://public.flourish.studio/country-flags/svg/za.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00217965,0.002503628,0.002933825,0.003015844,0.003059659,0.003520667,0.003751467,0.003925049,0.003928446,0.004202826,0.004898521,0.014367581,0.015527971,0.043451734,0.197129673,0.49629199,0.559662416,0.733108463,0.834380081,0.86886631
South Korea,Asia,https://public.flourish.studio/country-flags/svg/kr.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000262671,0.000231009,0.000410736,0.000372726,0.000346478,0.00031792,0.000430227,0.000391126,0.000565406,0.000593903,0.000647847,0.000736578,0.000795417,0.000844164,0.001047848,0.001471512,0.003101204,0.007741352,0.029753858,0.055110349,0.069759626,0.081949416,0.095154115,0.138466271,0.215121316,0.325414138,0.403216274,0.546177339,0.69035818,0.876333891
